product_id,product_name,category,brand,price,cost_price,stock_qty,supplier
1001,UrbanX Product 1001,Accessories,PrimeChoice,3763.91,2069.06,675,Supplier_D
1002,HomeEase Product 1002,Home & Kitchen,StyleHub,597.49,468.64,756,Supplier_E
1003,StyleHub Product 1003,Electronic,HomeEase,570.82,408.21,632,Supplier_D
1004,Nova Product 1004,Home & Kitchen,FitLife,1543.57,870.31,204,Supplier_D
1005,TechPro Product 1005,Automotive,Nova,1732.35,867.14,21,Supplier_D
1006,UrbanX Product 1006,Accessories,Elite,1309.09,705.41,821,Supplier_D
1007,Elite Product 1007,Toys,StyleHub,,712.91,775,Supplier_D
1008,DailyNeeds Product 1008,Beauty,UrbanX,1062.28,590.57,189,Supplier_D
1009,SmartBuy Product 1009,Books,Elite,1678.29,891.97,754,Supplier_C
1010,TechPro Product 1010,Accessories,HomeEase,,617.37,133,Supplier_B
1011,FitLife Product 1011,Books,SmartBuy,2025.99,1382.81,68,Supplier_B
1012,TechPro Product 1012,Accessories,HomeEase,4164.56,2449.24,51,Supplier_B
1013,SmartBuy Product 1013,Books,StyleHub,1080.8,808.64,548,Supplier_E
1014,SmartBuy Product 1014,Accessories,FitLife,924.71,629.87,310,Supplier_B
1015,SmartBuy Product 1015,Grocery, TechPro ,1073.27,692.36,589,Supplier_A
1016,FitLife Product 1016,Automotive,PrimeChoice,873.82,530.16,316,Supplier_A
1017,UrbanX Product 1017,Sports,HomeEase,318.55,152.9,720,Supplier_C
1018,DailyNeeds Product 1018,Electronics, TechPro ,4030.55,2797.13,586,Supplier_A
1019,TechPro Product 1019,Toys,Nova,830.37,387.06,714,Supplier_D
1020,PrimeChoice Product 1020,Fashion,TechPro,1161.36,854.41,925,Supplier_C
1021,DailyNeeds Product 1021,Toys,StyleHub,6408.85,5092.81,886,Supplier_E
1022,SmartBuy Product 1022,Toys,TechPro,996.3,582.06,12,Supplier_D
1023,UrbanX Product 1023,Sports,HomeEase,2443.25,1930.91,222,Supplier_D
1024,UrbanX Product 1024,Automotive,FitLife,1207.47,742.72,41,Supplier_C
1025,HomeEase Product 1025,Electronics,HomeEase,3972.64,2048.49,399,Supplier_A
1026,TechPro Product 1026,Automotive,TechPro,3770.08,1843.64,377,Supplier_C
1027,HomeEase Product 1027,Books,StyleHub,1031.75,722.31,940,Supplier_A
1028,SmartBuy Product 1028,Automotive,FitLife,3894.6,2707.29,386,Supplier_D
1029,FitLife Product 1029,Automotive,StyleHub,1437.5,1018.92,932,Supplier_E
1030,TechPro Product 1030,Sports,UrbanX,1743.42,992.58,743,Supplier_D
1031,UrbanX Product 1031,Fashion,Elite,659.38,315.47,376,Supplier_E
1032,FitLife Product 1032,Books,PrimeChoice,1759.01,927.34,46,Supplier_C
1033,StyleHub Product 1033,Grocery,DailyNeeds,603.94,315.82,267,Supplier_C
1034,Nova Product 1034,Electronics,FitLife,2981.95,1424.03,307,Supplier_B
1035,PrimeChoice Product 1035,Automotive,Elite,2311.44,1252.88,982,Supplier_D
1036,HomeEase Product 1036,Books,UrbanX,3693.0,1790.62,166,Supplier_A
1037,SmartBuy Product 1037,Books,Nova,280.39,129.76,380,Supplier_A
1038,UrbanX Product 1038,Toys,DailyNeeds,1152.8,899.45,592,Supplier_A
1039,Elite Product 1039,Accessories,Nova,2934.91,1364.07,11,Supplier_C
1040,Nova Product 1040,Automotive,FitLife,528.79,376.11,-5,Supplier_E
1041,PrimeChoice Product 1041,Toys,PrimeChoice,5309.99,2897.65,365,Supplier_E
1042,UrbanX Product 1042,Electronics,Elite,407.59,289.54,885,Supplier_D
1043,StyleHub Product 1043,Toys,FitLife,439.63,245.01,181,Supplier_B
1044,StyleHub Product 1044,Fashion,SmartBuy,898.8,470.38,212,Supplier_B
1045,FitLife Product 1045,Electronics,UrbanX,1178.68,670.26,302,Supplier_A
1046,Nova Product 1046,Electronic,StyleHub,904.97,419.14,79,Supplier_A
1047,Elite Product 1047,Beauty,Nova,1788.87,1418.37,818,Supplier_E
1048,Nova Product 1048,Beauty,Nova,1673.42,1106.67,842,Supplier_C
1049,UrbanX Product 1049,Toys,DailyNeeds,1073.55,856.35,976,Supplier_A
1050,DailyNeeds Product 1050,Books,SmartBuy,2629.44,1801.5,953,Supplier_D
1051,UrbanX Product 1051,Toys,FitLife,1296.77,833.33,116,Supplier_E
1052,TechPro Product 1052,Electronics,Elite,329.22,163.0,426,Supplier_B
1053,FitLife Product 1053,Electronics,HomeEase,1246.29,923.1,791,Supplier_E
1054,Nova Product 1054,Fashion, TechPro ,2251.61,1444.38,646,Supplier_E
1055,Nova Product 1055,Sports,TechPro,925.65,712.47,860,Supplier_B
1056,FitLife Product 1056,Books,PrimeChoice,520.82,327.41,684,Supplier_C
1057,HomeEase Product 1057,Home & Kitchen,StyleHub,551.96,324.21,912,Supplier_D
1058,Nova Product 1058,Electronics,SmartBuy,1986.51,1018.51,56,Supplier_D
1059,TechPro Product 1059,Beauty,DailyNeeds,4904.81,2519.76,109,Supplier_E
1060,HomeEase Product 1060,Beauty,DailyNeeds,1036.06,766.43,510,Supplier_E
1061,HomeEase Product 1061,Toys,FitLife,1036.01,576.62,387,Supplier_E
1062,FitLife Product 1062,Electronics,TechPro,267.77,214.43,617,Supplier_B
1063,UrbanX Product 1063,Automotive,FitLife,1919.04,975.6,593,Supplier_E
1064,SmartBuy Product 1064,Fashion,Nova,1955.58,1412.27,427,Supplier_B
1065,Nova Product 1065,Accessories,Elite,,556.33,700,Supplier_A
1066,StyleHub Product 1066,Home & Kitchen,Elite,4409.5,3227.36,141,Supplier_D
1067,PrimeChoice Product 1067,Fashion,Elite,3340.76,2022.55,458,Supplier_E
1068,Elite Product 1068,Books,HomeEase,,2779.6,146,Supplier_E
1069,UrbanX Product 1069,Fashion,StyleHub,4952.15,2235.25,221,Supplier_E
1070,PrimeChoice Product 1070,Grocery,SmartBuy,688.87,464.98,909,Supplier_B
1071,TechPro Product 1071,Sports,Elite,870.4,398.69,664,Supplier_E
1072,TechPro Product 1072,Automotive,FitLife,813.85,521.68,70,Supplier_B
1073,Nova Product 1073,Home & Kitchen,SmartBuy,1459.25,865.19,-5,Supplier_B
1074,HomeEase Product 1074,Grocery,StyleHub,1484.83,1107.47,638,Supplier_D
1075,HomeEase Product 1075,Fashion,SmartBuy,1178.45,634.63,675,Supplier_A
1076,Elite Product 1076,Toys,HomeEase,2418.61,1308.29,46,Supplier_C
1077,UrbanX Product 1077,Grocery,SmartBuy,1758.49,1302.7,140,Supplier_A
1078,UrbanX Product 1078,Sports,Nova,1274.56,602.87,624,Supplier_A
1079,FitLife Product 1079,Sports,Nova,2638.5,1669.51,-5,Supplier_A
1080,Nova Product 1080,Electronics,HomeEase,386.1,254.41,383,Supplier_A
1081,DailyNeeds Product 1081,Automotive,DailyNeeds,845.89,493.7,282,Supplier_C
1082,Elite Product 1082,Electronics,Elite,2881.44,1832.68,180,Supplier_E
1083,HomeEase Product 1083,Beauty,UrbanX,972.46,560.27,990,Supplier_C
1084,TechPro Product 1084,Fashion,SmartBuy,172.51,119.78,304,Supplier_A
1085,HomeEase Product 1085,Accessories,UrbanX,1052.04,825.45,602,Supplier_B
1086,SmartBuy Product 1086,Sports,StyleHub,1279.13,870.87,544,Supplier_B
1087,Elite Product 1087,Beauty,Nova,4713.63,2188.12,225,Supplier_E
1088,TechPro Product 1088,Grocery,SmartBuy,2427.24,1339.28,163,Supplier_A
1089,Elite Product 1089,Electronics,StyleHub,386.43,257.94,62,Supplier_A
1090,Nova Product 1090,Beauty,StyleHub,2259.04,1371.79,542,Supplier_D
1091,UrbanX Product 1091,Automotive,UrbanX,1242.73,969.91,15,Supplier_C
1092,PrimeChoice Product 1092,Accessories,DailyNeeds,2556.36,1663.89,220,Supplier_D
1093,Nova Product 1093,Home & Kitchen,TechPro,1852.69,1478.07,216,Supplier_D
1094,TechPro Product 1094,electronics,PrimeChoice,715.95,548.63,423,Supplier_E
1095,PrimeChoice Product 1095,Fashion,HomeEase,281.02,167.33,234,Supplier_E
1096,PrimeChoice Product 1096,Sports,TechPro,1495.28,776.4,717,Supplier_E
1097,Elite Product 1097,Grocery,DailyNeeds,1304.63,884.38,701,Supplier_A
1098,Elite Product 1098,Accessories,TechPro,,2007.51,802,Supplier_B
1099,PrimeChoice Product 1099,Sports,FitLife,6524.05,3648.55,876,Supplier_A
1100,UrbanX Product 1100,Grocery,SmartBuy,3010.03,1425.42,946,Supplier_C
1101,Nova Product 1101,Fashion,PrimeChoice,-100.0,2027.54,98,Supplier_B
1102,HomeEase Product 1102,Toys,DailyNeeds,2313.74,1048.94,726,Supplier_D
1103,TechPro Product 1103,Sports,UrbanX,1867.47,1218.82,882,Supplier_B
1104,HomeEase Product 1104,Beauty,FitLife,2160.21,1546.81,800,Supplier_E
1105,DailyNeeds Product 1105,Home & Kitchen,HomeEase,2572.73,1971.34,285,Supplier_D
1106,TechPro Product 1106,electronics,UrbanX,206.43,101.69,607,Supplier_E
1107,PrimeChoice Product 1107,Home & Kitchen,Nova,1381.47,1034.19,170,Supplier_B
1108,DailyNeeds Product 1108,Sports,DailyNeeds,1432.91,873.43,225,Supplier_C
1109,UrbanX Product 1109,Electronics,StyleHub,2535.6,1446.5,105,Supplier_B
1110,StyleHub Product 1110,Fashion,Nova,2567.28,2069.24,177,Supplier_B
1111,TechPro Product 1111,Fashion,DailyNeeds,330.73,260.6,262,Supplier_D
1112,FitLife Product 1112,Electronics,HomeEase,2288.07,1090.16,598,Supplier_D
